Widzę	l|s|s|s|r_ieć
wielki	s|s|s|s|s|s
sukces	s|s|s|s|s|s
.	s

Przede	l|s|s|s|s|d
mną	r_j|r_a|d
stał	s|s|s|r_ć
Wiktor	s|s|s|s|s|s
.	s

Mirek	s|s|s|s|s
zatelefonował	s|s|s|s|s|s|s|s|s|s|s|s|r_ć
z	s
automatu	s|s|s|s|s|s|s|d
do	s|s
Międzylesia	s|s|s|s|s|s|s|s|s|s|r_e
do	s|s
Sów	s|r_o|s|r_a
.	s

Również	l|s|s|s|s|s|s
wysokie	s|s|s|s|s|s|d
pozycje	s|s|s|s|s|s|r_a
zajęły	s|s|s|r_ą|r_ć|d
inne	s|s|s|r_y
polskie	s|s|s|s|s|s|d
załogi	s|s|s|s|s|r_a
.	s

To	l|s
jest	r_b|r_y|r_ć|d
koszmar	s|s|s|s|s|s|s
!	s

Kto	l|s|s
chciał	s|s|s|s|r_e|r_ć
by	s|s
zabrać	s|s|s|s|s|s
głos	s|s|s|s
?	s

-	s
Przynajmniej	l|s|s|s|s|s|s|s|s|s|s|s
żyjemy	s|s|r_ć|d|d|d
;	s
jeszcze	s|s|s|s|s|s|s
nas	r_m|r_y|d
nie	s|s|s
eksterminują	s|s|s|s|s|s|s|s|s|r_ow|r_a|r_ć
.	s

W	l
poczekalni	s|s|s|s|s|s|s|s|s|s|r_a
uścisnęli	s|s|s|s|s|s|r_ą|r_ć|d
sobie	s|r_ie|s|s|s
ręce	s|s|r_k|r_a
,	s
Henryk	s|s|s|s|s|s
dźwignął	s|s|s|s|s|s|s|r_ć
walizę	s|s|s|s|s|r_a
.	s

Pojazd	l|s|s|s|s|s
waży	s|s|s|s|r_ć
sześćset	s|s|s|s|s|s|s|s
dwadzieścia	s|s|s|s|s|s|s|s|s|s|s
kilogramów	s|s|s|s|s|s|s|s|d|d
.	s

Czasy	l|s|s|s|d
się	s|s|s
zmieniają	s|s|s|s|s|s|s|r_ć|d
.	s

-	s
To	l|s
znaczy	s|s|s|s|s|s|r_ć
,	s
że	s|s
mnie	r_j|r_a|d|d
też	s|s|s
okłamujesz	s|s|s|s|s|r_y|r_w|r_a|r_ć|d
?	s

Nowy	l|s|s|s
dzierżawca	s|s|s|s|s|s|s|s|s|s
wykonał	s|s|s|s|s|s|r_ć
niezbędne	s|s|s|s|s|s|s|s|r_y
remonty	s|s|s|s|s|s|d
i	s
odnowienia	s|s|s|s|s|s|s|s|s|r_e
.	s

pisała	s|s|s|s|r_ć|d
ś	r_być
wcześniej	s|s|s|s|s|s|s|s|d
w	s
tych	s|r_e|r_n|d
swoich	s|s|r_ó|r_j|d|d
.	s
.	s

Tak	l|s|s
przynajmniej	s|s|s|s|s|s|s|s|s|s|s|s
zapowiadają	s|s|s|s|s|s|s|s|s|r_ć|d
komunikaty	s|s|s|s|s|s|s|s|s|d
PIHM-u	s|s|s|s|d|d
.	s

Ponadto	l|s|s|s|s|s|s
bardzo	s|s|s|s|s|s
pragniesz	s|s|s|s|s|r_ą|r_ć|d|d
się	s|s|s
podobać	s|s|s|s|s|s|s
.	s

I	l
nie	s|s|s
zgodzili	s|s|s|s|s|s|r_ć|d
się	s|s|s
.	s

I	l
nie	s|s|s
musiał	s|s|s|s|r_e|r_ć
.	s

Od	l|s
tego	s|s|r_n|d
czasu	s|s|s|s|d
sprawa	s|s|s|s|s|s
czekała	s|s|s|s|s|r_ć|d
na	s|s
wyznaczenie	s|s|s|s|s|s|s|r_y|r_ć|d|d
terminu	s|s|s|s|s|s|d
.	s

Oddycha	l|s|s|s|s|s|s|r_ć
się	s|s|s
historią	s|s|s|s|s|s|s|r_a
.	s

Odpowiedziała	l|s|s|s|s|s|s|s|s|s|r_e|r_ć|d
jej	r_o|r_n|d
cisza	s|s|s|s|s
.	s

-	s
Skąd	l|s|s|s
ty	s|s
bierzesz	s|d|d|s|r_a|r_ć|d|d
takie	s|s|s|s|d
powiedzonka	s|s|s|s|s|s|s|s|s|s|r_o
?	s

Zdaniem	l|s|s|s|s|s|d
konkurentów	s|s|s|s|s|s|s|s|s|d|d
,	s
wyznaczył	s|s|s|s|s|s|s|s|r_ć
kanon	s|s|s|s|s
radiowej	s|s|s|s|s|s|r_y|d
prowokacji	s|s|s|s|s|s|s|s|s|r_a
w	s
warunkach	s|s|s|s|s|s|r_i|d|d
polskich	s|s|s|s|s|s|d|d
.	s

-	s
Jeszcze	l|s|s|s|s|s|s
m	r_być
nie	s|s|s
mieniał	s|s|s|s|s|s|r_ć
.	s

Potem	l|s|s|s|s
zapytała	s|s|s|s|s|s|r_ć|d
,	s
skąd	s|s|s|s
dzwoni	s|s|s|s|s|s|r_ć
.	s

Znów	l|s|s|s
podnieśli	s|s|s|s|s|s|s|r_ć|d
się	s|s|s
ze	s|d
swych	s|s|r_ó|r_j|d
miejsc	s|s|s|s|s|s|r_e
.	s

Pięć	l|s|s|s
osób	s|s|r_o|s|r_a
ocalało	s|s|s|s|r_e|r_ć|d
.	s

Kontrolerzy	l|s|s|s|s|s|s|s|s|d|d
nie	s|s|s
wzięli	s|s|s|r_ą|r_ć|d
pogróżek	s|s|s|s|s|s|r_k|r_a
poważnie	s|s|s|s|s|s|s|s
,	s
bo	s|s
wiedzieli	s|s|s|s|s|s|s|r_ć|d
z	s
doświadczenia	s|s|s|s|s|s|s|s|s|s|s|s|r_e
,	s
że	s|s
w	s
podobnej	s|s|s|s|s|s|r_y|d
sytuacji	s|s|s|s|s|s|s|r_a
prawie	s|s|s|s|s|s
każdy	s|s|s|s|s
podatnik	s|s|s|s|s|s|s|s
powołuje	s|s|s|s|s|r_yw|r_a|r_ć
się	s|s|s
na	s|s
możnego	s|s|s|s|r_y|d|d
protektora	s|s|s|s|s|s|s|s|s|d
.	s
.	s
.	s

Co	l|s
tam	s|s|s
się	s|s|s
dzieje	s|s|s|r_a|r_ć|d
konkretnie	s|s|s|s|s|s|s|s|s|s
?	s

Lękają	l|s|s|s|r_ć|d
się	s|s|s
.	s

Niezwyciężony	l|s|s|s|s|s|s|s|s|s|s|s|s
lęk	s|s|s
przed	s|s|s|s|s
dziwem	s|s|s|s|d|d
w	s
każdym	s|s|s|s|s|d
momencie	s|s|s|s|s|r_t|d|d
serca	s|s|s|s|r_e
przychodniów	s|s|s|s|s|s|s|s|r_z|s|r_e|r_ń
przeszywał	s|s|s|s|s|s|s|s|s|r_ć
.	s

wiesz	s|s|s|r_d|s|r_ieć
co	s|s
.	s
.	s

-	s
No	l|s
widzi	s|s|s|s|s|r_eć
pan	s|s|s
.	s
.	s
.	s

Po	l|s
odsiadce	s|s|s|s|s|s|r_k|r_a
nie	s|s|s
zaprzestał	s|s|s|s|s|s|s|s|s|r_ć
złodziejskiego	s|s|s|s|s|s|s|s|s|s|s|d|d|d
procederu	s|s|s|s|s|s|s|s|d
.	s

Za	l|s
chwilę	s|s|s|s|s|r_a
rozpocznę	s|s|s|s|s|s|s|r_ą|r_ć
wykład	s|s|s|s|s|s
.	s
.	s
.	s

Znajdź	l|s|s|r_l|r_e|s|r_ć
i	s
natychmiast	s|s|s|s|s|s|s|s|s|s|s
mnie	r_j|r_a|d|d
z	s
nim	i_o|d|d
połącz	s|s|s|s|s|s|r_yć
.	s

No	l|s
,	s
widzisz	s|s|s|s|s|r_e|r_ć
,	s
widzisz	s|s|s|s|s|r_e|r_ć
,	s
sam	s|s|s
widzisz	s|s|s|s|s|r_e|r_ć
.	s
.	s
.	s

Mają	l|r_i|r_e|r_ć
2,5-letnią	s|s|s|s|s|s|s|s|s|d
córeczkę	s|s|s|s|s|s|s|r_a
Różę	s|s|s|r_a
.	s

Południowoafrykański	l|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s
adwokat	s|s|s|s|s|s|s
Hints	s|s|s|s|s
Sivisa	s|s|s|s|s|s
zostawił	s|s|s|s|s|s|s|r_ć
na	s|s
ulicy	s|s|s|s|r_a
walizeczkę	s|s|s|s|s|s|s|s|s|r_a
.	s

Weźmiemy	l|r_z|d|d|s|r_ą|r_ć|d
się	s|s|s
za	s|s
to	s|s
,	s
ale	s|s|s
trzeba	s|s|s|s|s|s
zacząć	s|s|s|s|s|s
od	s|s
niego	i_o|d|d|d|d
.	s
.	s
.	s

A	l
potem	s|s|s|s|s
może	s|s|s|s
także	s|s|s|s|s
umieścimy	s|s|s|s|s|s|s|r_ć|d
naszą	s|s|s|s|d
kolekcję	s|s|s|s|s|s|s|r_a
w	s
Internecie	s|s|s|s|s|s|s|r_t|d|d
.	s

Zeszła	l|s|r_j|r_ś|r_ć|d
już	s|s|s
na	s|s
dalsze	s|s|s|r_e|r_k|r_i
miejsca	s|s|s|s|s|s|r_e
,	s
a	s
jej	r_o|r_n|d
przyszłość	s|s|s|s|s|s|s|s|s|s
rysuje	s|s|s|r_ow|r_a|r_ć
się	s|s|s
niewesoło	s|s|s|s|s|s|s|s|s
.	s

Tośka	s|s|s|s|s
zdała	s|s|s|r_ć|d
arytmetykę	s|s|s|s|s|s|s|s|s|r_a
.	s

Zaczął	l|s|s|s|s|r_ć
em	r_by|r_ć
się	s|s|s
obawiać	s|s|s|s|s|s|s
,	s
że	s|s
wyrządził	s|s|s|s|s|s|s|s|r_ć
em	r_by|r_ć
mu	r_o|r_n
krzywdę	s|s|s|s|s|s|r_a
.	s

Starczy	l|s|s|s|s|s|s|r_ć
mi	r_j|r_a
sił	s|s|s|r_a
.	s

-	s
Pan	l|s|s
poseł	s|s|s|s|s
Walendziak	s|s|s|s|s|s|s|s|s|s
ma	s|r_ieć
jakieś	s|s|s|s|d|s
pytanie	s|s|s|s|s|s|s
?	s

Półwysep	l|s|s|s|s|s|s|s
Jukatan	s|s|s|s|s|s|s
to	s|s
kilkadziesiąt	s|s|s|s|s|s|s|s|s|s|s|s|s
obszarów	s|s|s|s|s|s|d|d
archeologicznych	s|s|s|s|s|s|s|s|s|s|s|s|s|s|d|d
.	s

Rozłożyli	l|s|s|s|s|s|s|r_ć|d
śmy	r_b|r_y|r_ć
mapę	s|s|s|r_a
na	s|s
stoliku	s|s|s|s|s|s|d
.	s

Przyjmuje	l|s|s|s|s|s|r_ow|r_a|r_ć
komunię	s|s|s|s|s|s|r_a
.	s

Hill	s|s|s|s
startował	s|s|s|s|s|s|s|s|r_ć
z	s
pole	s|s|s|s
position	s|s|s|s|s|s|s|s
,	s
ale	s|s|s
już	s|s|s
na	s|s
pierwszych	s|s|s|s|s|s|s|s|d|d
metrach	s|s|s|s|d|d|d
wyprzedził	s|s|s|s|s|s|s|s|s|r_ć
go	r_o|r_n
kolega	s|s|s|s|s|s
z	s
zespołu	s|s|s|s|r_ó|s|d
David	s|s|s|s|s
Coulthard	s|s|s|s|s|s|s|s|s
.	s

-	s
I	l
nadal	s|s|s|s|s
nie	s|s|s
wiem	s|s|s|r_dzieć
,	s
kim	s|r_t|r_o
jesteś	r_b|r_y|r_ć|d|d|d
.	s

Teraz	l|s|s|s|s
niestety	s|s|s|s|s|s|s|s
będzie	s|r_y|r_ć|d|d|d
musiał	s|s|s|s|r_e|r_ć
.	s

Najpierw	l|s|s|s|s|s|s|s
przyśnił	s|s|s|s|s|s|s|r_ć
się	s|s|s
młynek	s|s|s|s|s|s
do	s|s
kawy	s|s|s|r_a
.	s

my	s|s
śmy	r_b|r_y|r_ć
tak	s|s|s
w	s
butach	s|s|s|d|d|d
wleźli	s|s|s|s|r_ć|d
.	s

–	s
obraziła	s|s|s|s|s|s|r_ć|d
ś	r_być
się	s|s|s
.	s

–	s
Odłożył	l|s|s|s|s|s|r_ć
książkę	s|s|s|s|s|s|r_a
na	s|s
bok	s|s|s
.	s

-	s
Moja	l|r_ó|s|d
kariera	s|s|s|s|s|s|s
sięgnęła	s|s|s|s|s|r_ą|r_ć|d
szczytu	s|s|s|s|s|s|d
.	s

Chyba	l|s|s|s|s
przyznasz	s|s|s|s|s|s|s|r_ć|d
,	s
że	s|s
przyjemniej	s|s|s|s|s|s|s|s|s|s|d
obcuje	s|s|s|r_ow|r_a|r_ć
się	s|s|s
z	s
osobami	s|s|s|s|s|d|d
myślącymi	s|s|s|s|s|s|s|d|d
i	s
sympatycznymi	s|s|s|s|s|s|s|s|s|s|s|d|d
.	s

Znalezisko	l|s|s|s|s|s|s|s|s|s
to	s|r_en
posiada	s|s|s|s|s|s|s|r_ć
sporą	s|s|s|s|r_y
wartość	s|s|s|s|s|s|s
historyczną	s|s|s|s|s|s|s|s|s|s|r_y
.	s

Nic	l|s|s
nie	s|s|s
zmieniamy	s|s|s|s|s|s|s|r_ć|d
.	s

Nieopodal	l|s|s|s|s|s|s|s|s
znajdowało	s|s|s|s|s|s|s|s|r_ć|d
się	s|s|s
stoisko	s|s|s|s|s|s|s
z	s
pamiątkami	s|s|s|s|s|s|s|s|d|d
.	s

Trwa	l|s|s|s|r_ć
akcja	s|s|s|s|s
protestacyjna	s|s|s|s|s|s|s|s|s|s|s|s|r_y
.	s

W	l
tym	s|r_e|r_n
krótkim	s|s|s|s|s|s|d
okresie	s|s|s|s|s|d|d
okazało	s|s|s|s|s|r_ć|d
się	s|s|s
,	s
że	s|s
wielu	s|s|s|s|r_e
kierowców	s|s|s|s|s|s|s|r_a|d
nie	s|s|s
stosuje	s|s|s|s|r_ow|r_a|r_ć
się	s|s|s
do	s|s
wprowadzonych	s|s|s|s|s|s|s|s|r_i|r_ć|d|d|d
ograniczeń	s|s|s|s|s|s|s|s|s|r_nie
.	s

Żelazny	l|s|s|s|s|s|s
kolos	s|s|s|s|s
Żugajowi	s|s|s|s|s|d|d|d
nie	s|s|s
nabił	s|s|s|s|r_ć
nawet	s|s|s|s|s
guza	s|s|s|d
.	s

Wiedziała	l|s|s|s|s|s|r_e|r_ć|d
m	r_być
,	s
moja	s|r_ó|s|d
droga	s|s|s|s|r_i
siostro	s|s|s|s|s|s|r_a
,	s
że	s|s
można	s|s|s|s|s
na	s|s
ciebie	r_t|r_y|d|d|d|d
liczyć	s|s|s|s|s|s
!	s

Nagle	l|s|s|s|s
uświadomiła	s|s|s|s|s|s|s|s|s|r_ć|d
m	r_być
sobie	s|r_ie|s|s|s
,	s
jak	s|s|s
bardzo	s|s|s|s|s|s
się	s|s|s
ostatnio	s|s|s|s|s|s|s|s
postarzał	s|s|s|s|s|s|s|r_e|r_ć
.	s

Często	l|s|s|s|s|s
wykorzystujemy	s|s|s|s|s|s|s|s|s|r_y|r_w|r_a|r_ć|d
znajomości	s|s|s|s|s|s|s|s|r_ć|d
i	s
dojścia	s|s|s|s|s|s|r_e
zaprzyjaźnionych	s|s|s|s|s|s|s|s|s|s|s|s|s|s|d|d
osób	s|s|r_o|s|r_a
.	s

Żydzi	s|s|s|d|d
w	s
Izraelu	s|s|s|s|s|s|d
podlegają	s|s|s|s|s|s|s|r_ć|d
także	s|s|s|s|s
innym	s|s|s|s|d
czynnikom	s|s|s|s|s|s|s|d|d
.	s

Cała	l|s|s|r_y
opera	s|s|s|s|s
huczy	s|s|s|s|r_eć
od	s|s
sprzecznych	s|s|s|s|s|s|s|s|s|d|d
komentarzy	s|s|s|s|s|s|s|s|s|d
.	s

Konkurentów	l|s|s|s|s|s|s|s|s|d|d
mu	r_o|r_n
nie	s|s|s
brakuje	s|s|s|s|r_ow|r_a|r_ć
.	s

-	s
Muszę	l|s|s|r_ie|r_ć
przynieść	s|s|s|s|s|s|s|s|s
więcej	s|s|s|s|s|s
gałęzi	s|s|s|r_ą|r_ź|d
.	s

–	s
ja	s|s
chciał	s|s|s|s|r_e|r_ć
by	s|s
m	r_być
trochę	s|s|s|s|s|s
z	s
boku	s|s|s|d
jakby	s|s|s|s|s
podejść	s|s|s|s|s|s|s
.	s

O	l
szczegóły	s|s|s|s|s|s|s|s|d
poprosimy	s|s|s|s|s|s|s|r_ć|d
porucznika	s|s|s|s|s|s|s|s|s|d
Achselringa	s|s|s|s|s|s|s|s|s|s|d
.	s

Kilka	l|s|s|s|s
dni	s|r_z|s|r_eń
temu	s|s|s|s
na	s|s
oddział	s|s|s|s|s|s|s
trafiła	s|s|s|s|s|r_ć|d
prątkująca	s|s|s|s|s|r_o|r_w|r_a|r_ć|d
absolwentka	s|s|s|s|s|s|s|s|s|s|s
gimnazjum	s|s|s|s|s|s|s|s|s
.	s

-	s
O	l
czym	s|r_o|d|d
pan	s|s|s
pisał	s|s|s|s|r_ć
dotychczas	s|s|s|s|s|s|s|s|s|s
?	s

Ktoś	l|s|s|s
musi	s|s|s|s|r_eć
w	s
końcu	s|s|r_nie|s|d
porządku	s|s|s|s|s|s|i_e|d
pilnować	s|s|s|s|s|s|s|s
.	s

-	s
Nikt	l|s|s|s
się	s|s|s
nie	s|s|s
rozłazi	s|s|s|s|s|s|s|r_ć
,	s
panie	s|s|s|d|d
kapralu	s|s|s|s|s|s|d
!	s

–	s
a	s
co	s|s
to	s|s
jest	r_b|r_y|r_ć|d
to	s|s
?	s

Zawołać	l|s|s|s|s|s|s
taksówkę	s|s|s|s|s|s|s|r_a
?	s

Położył	l|s|s|s|s|s|r_ć
em	r_by|r_ć
się	s|s|s
na	s|s
ziemi	s|s|s|s|s|r_a
i	s
wyciągnął	s|s|s|s|s|s|s|s|r_ć
em	r_by|r_ć
nogi	s|s|s|r_a
.	s

Eliasz	s|s|s|s|s|s
w	s
milczeniu	s|s|s|s|s|s|s|s|r_e
patrzył	s|s|s|s|s|s|r_ć
przed	s|s|s|s|s
siebie	s|s|s|s|s|s
.	s

Wtedy	l|s|s|s|s
ja	s|s
stanowię	s|s|s|s|s|s|s|r_ć
publiczność	s|s|s|s|s|s|s|s|s|s|s
.	s

–	s
Co	l|s
tu	s|s
się	s|s|s
dzieje	s|s|s|r_a|r_ć|d
?	s

–	s
Startuję	l|s|s|s|s|r_ow|r_a|r_ć
do	s|s
Senatu	l|s|s|s|s|d
.	s

Sto	l|s|s
gazet	s|s|s|s|s|r_a
ukazuje	s|s|s|s|r_yw|r_a|r_ć
się	s|s|s
obecnie	s|s|s|s|s|s|s
w	s
przedsiębiorstwach	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|r_o|d|d
przemysłowych	s|s|s|s|s|s|s|s|s|s|s|d|d
i	s
usługowych	s|s|s|s|s|s|s|s|d|d
.	s

Nie	l|s|s
odwrócą	s|s|s|s|s|s|r_ić
się	s|s|s
.	s

-	s
Nie	l|s|s
okłamuję	s|s|s|s|s|r_yw|r_a|r_ć
go	r_o|r_n
.	s

Kilkunastu	l|s|s|s|r_a|s|s|r_śc|r_i|r_e
strażaków	s|s|s|s|s|s|s|d|d
nerwowo	s|s|s|s|s|s|s
biega	s|s|s|s|s|r_ć
z	s
jednej	s|s|s|d|s|r_n
strony	s|s|s|s|s|r_a
na	s|s
drugą	s|s|s|s|r_i
.	s

Kołdra	l|s|s|s|s|s
i	s
ściągnięte	s|s|s|s|s|s|r_ą|r_ć|d|d
z	s
materaca	s|s|s|s|s|s|s|d
prześcieradło	s|s|s|s|s|s|s|s|s|s|s|s|s
dziwaczną	s|s|s|s|s|s|s|s|r_y
draperią	s|s|s|s|s|s|s|r_a
zwisało	s|s|s|s|s|r_ć|d
z	s
łóżka	s|s|s|s|r_o
.	s

Jest	r_b|r_y|r_ć|d
jakaś	s|s|s|r_i|s
awaria	s|s|s|s|s|s
w	s
sieci	s|s|s|r_ć|d
.	s

Przy	l|s|s|s
obecnych	s|s|s|s|s|s|d|d
upałach	s|s|s|s|d|d|d
takie	s|s|s|s|d
opady	s|s|s|s|d
wyparowują	s|s|s|s|s|s|s|r_yw|r_a|r_ć
w	s
kilkanaście	s|s|s|s|s|s|s|s|s|s|s
minut	s|s|s|s|s|r_a
.	s

Odsapnąć	l|s|s|s|s|s|s|s
nie	s|s|s
pozwalają	s|s|s|s|s|s|s|r_ć|d
.	s

Człowiek	l|s|s|s|s|s|s|s
uczy	s|s|s|s|r_ć
się	s|s|s
jednak	s|s|s|s|s|s
przez	s|s|s|s|s
całe	s|s|s|r_y
życie	s|s|s|s|s
.	s

–	s
puść	s|s|s|i_ci
jej	r_o|r_n|d
sygnał	s|s|s|s|s|s
.	s

-	s
Ostro	l|s|s|s|s
szarpnęła	s|s|s|s|s|s|r_ą|r_ć|d
pierzyną	s|s|s|s|s|s|s|r_a
.	s

Płonącą	l|s|s|s|s|r_ć|d
Warszawę	s|s|s|s|s|s|s|r_a
widać	s|s|s|s|s
było	s|s|r_ć|d
z	s
dużej	s|s|s|r_y|d
odległości	s|s|s|s|s|s|s|s|r_ć|d
.	s

Wiatr	l|s|s|s|s
huczał	s|s|s|s|r_e|r_ć
,	s
nie	s|s|s
było	s|s|r_ć|d
czym	s|r_o|d|d
oddychać	s|s|s|s|s|s|s|s
.	s

Czy	l|s|s
udźwignie	s|s|s|s|s|s|s|r_ą|r_ć
?	s

co	s|s
ty	s|s
tam	s|s|s
robisz	s|s|s|s|r_ć|d
?	s

Zwiększono	l|s|s|s|s|s|s|r_y|r_ć|d
nakład	s|s|s|s|s|s
,	s
objętość	s|s|s|s|s|s|s|s
,	s
pojawiły	s|s|s|s|s|s|r_ć|d
się	s|s|s
nawet	s|s|s|s|s
honoraria	s|s|s|s|s|s|s|s|r_um
.	s

-	s
Liczę	l|s|s|s|r_yć
.	s

-	s
Mówię	l|s|s|s|r_ć
,	s
żeby	s|s|s|s
ś	r_być
wiedziała	s|s|s|s|s|s|r_e|r_ć|d
.	s

Uwielbiają	l|s|s|s|s|s|s|s|r_ć|d
nasze	s|s|s|s|d
ogórki	s|s|s|s|i_e|d
kiszone	s|s|s|s|s|s|r_y
i	s
marynowane	s|s|s|s|s|s|s|s|s|r_y
grzybki	s|s|s|s|s|i_e|d
.	s

Sześciokrotny	l|s|s|s|s|s|s|s|s|s|s|s|s
mistrz	s|s|s|s|s|s
świata	s|s|s|s|s|d
zaczął	s|s|s|s|s|r_ć
od	s|s
wysokości	s|s|s|s|s|s|s|r_ć|d
5,70	s|s|s|s
,	s
ale	s|s|s
nie	s|s|s
zdołał	s|s|s|s|s|r_ć
jej	r_o|r_n|d
pokonać	s|s|s|s|s|s|s
.	s

Beczała	l|s|s|s|r_e|r_ć|d
.	s

Szli	r_i|r_ś|r_ć|d
śmy	r_b|r_y|r_ć
do	s|s
Harstad	s|s|s|s|s|s|s
.	s

Pomyślano	l|s|s|s|s|s|r_e|r_ć|d
również	s|s|s|s|s|s|s
o	s
indywidualnych	s|s|s|s|s|s|s|s|s|s|s|s|d|d
turnusach	s|s|s|s|s|s|d|d|d
.	s

W	l
samą	s|s|s|d
porę	s|s|s|r_a
z	s
odsieczą	s|s|s|s|s|s|s|d
przybył	s|s|s|s|s|s|r_ć
Amerykanin	s|s|s|s|s|s|s|s|s|s
Penebarth	s|s|s|s|s|s|s|s|s
.	s

Znowu	l|s|s|s|s
odpowiedziało	s|s|s|s|s|s|s|s|s|s|r_e|r_ć|d
mu	r_o|r_n
milczenie	s|s|s|s|s|s|s|s|s
.	s

Sprawdzamy	l|s|s|s|s|s|s|s|r_ć|d
wyrostki	s|s|s|s|s|s|i_e|d
kolczyste	s|s|s|s|s|s|s|s|r_y
i	s
łuki	s|s|s|d
kręgów	s|s|r_ą|s|d|d
.	s

Świadkowie	l|s|s|s|s|i_e|d|d|d|d
twierdzą	s|s|s|s|s|s|s|r_ić
,	s
że	s|s
pieszy	s|s|s|s|s|s
rzucił	s|s|s|s|s|r_ć
się	s|s|s
pod	s|s|s
koła	s|s|s|r_o
rozmyślnie	s|s|s|s|s|s|s|s|s|s
.	s

Niech	l|s|s|s|s
zakazują	s|s|s|s|s|r_yw|r_a|r_ć
!	s

Nikt	l|s|s|s
niczego	s|s|s|d|d|d|d
nie	s|s|s
wybiera	s|s|s|s|s|s|s|r_ć
,	s
coś	s|s|s
wybiera	s|s|s|s|s|s|s|r_ć
za	s|s
nas	r_m|r_y|d
.	s

Niech	l|s|s|s|s
zstąpi	s|s|s|s|s|s|r_ć
Duch	l|s|s|s
Twój	l|s|s|s
!	s

I	l
wtedy	s|s|s|s|s
wrócił	s|s|s|s|s|r_ć
do	s|s
Margit	s|s|s|s|s|s
,	s
która	s|s|s|s|r_y
drgnęła	s|s|s|s|r_ą|r_ć|d
przez	s|s|s|s|s
sen	s|s|s
czując	s|s|s|r_ć|d|d
chłód	s|s|s|s|s
jego	r_o|r_n|d|d
ciała	s|s|s|s|r_o
.	s

A	l
dał	s|s|r_ć
Kaliszowi	s|s|s|s|s|s|d|d|d
Niderlandy	s|s|s|s|s|s|s|s|s|s
.	s

To	l|s
najgorszy	r_z|r_ł|d|d|d|d|d|d|s
wstrząs	s|s|s|s|s|s|s
sejsmiczny	s|s|s|s|s|s|s|s|s|s
zarejestrowany	s|s|s|s|s|s|s|s|s|s|s|s|r_ć|d
w	s
Kolumbii	s|s|s|s|s|s|s|r_a
.	s

Wszystko	l|s|s|s|s|s|s|s
to	s|r_en
nagle	s|s|s|s|s
powróciło	s|s|s|s|s|s|s|r_ć|d
.	s

Bał	l|s|r_ć
się	s|s|s
mówić	s|s|s|s|s
wprost	s|s|s|s|s|s
,	s
nie	s|s|s
wiedział	s|s|s|s|s|s|r_e|r_ć
,	s
jak	s|s|s
to	s|s
zrobić	s|s|s|s|s|s
.	s

Zaszczuwa	l|s|s|s|s|s|s|s|s|r_ć
ludzi	r_cz|r_ł|r_o|r_w|s|r_ek
!	s

Starszy	l|s|s|s|d|d|s
kiwnął	s|s|s|s|s|r_ć
głową	s|s|s|s|r_a
.	s

I	l
zaczęło	s|s|s|s|r_ą|r_ć|d
się	s|s|s
dziać	s|s|s|s|s
wiele	s|s|s|s|s
zła	s|s|r_o
.	s

Oto	l|s|s
ja	s|s
,	s
sponiewierana	s|s|s|s|s|s|s|s|s|s|s|r_ć|d
i	s
przeklęta	s|s|s|s|s|s|r_ą|r_ć|d
Żydówka	s|s|s|s|s|s|s
,	s
błagam	s|s|s|s|s|r_ć
was	s|r_y|d
o	s
litość	s|s|s|s|s|s
.	s

-	s
Wymienialność	l|s|s|s|s|s|s|s|s|s|s|s|s
ułatwi	s|s|s|s|s|s|r_ć
eksporterom	s|s|s|s|s|s|s|s|s|d|d
rozliczenia	s|s|s|s|s|s|s|s|s|s|r_e
?	s

–	s
Odpierdol	l|s|s|s|s|s|s|s|s|r_ić
się	s|s|s
.	s

Życie	l|s|s|s|s
zostaje	s|s|s|s|s|r_wa|r_ć
.	s

Na	l|s
parkingu	s|s|s|s|s|s|s|d
wrzało	s|s|s|r_e|r_ć|d
.	s

Miał	l|s|r_e|r_ć
rasowego	s|s|s|s|s|r_y|d|d
ogiera	s|s|s|s|s|d
.	s

Dziękuję	l|s|s|s|s|r_ow|r_a|r_ć
!	s

Przewiduje	l|s|s|s|s|s|s|r_yw|r_a|r_ć
się	s|s|s
,	s
że	s|s
na	s|s
orbitę	s|s|s|s|s|r_a
okołoksiężycową	s|s|s|s|s|s|s|s|s|s|s|s|s|s|r_y
wejdzie	s|s|s|r_ś|r_ć|d|d
w	s
czwartek	s|s|s|s|s|s|s|s
rano	s|s|s|s
.	s

Wybuch	l|s|s|s|s|s
poważnie	s|s|s|s|s|s|s|s
uszkodził	s|s|s|s|s|s|s|s|r_ć
luksusowe	s|s|s|s|s|s|s|s|r_y
auto	s|s|s|s
,	s
ucierpiały	s|s|s|s|s|s|s|r_e|r_ć|d
też	s|s|s
cztery	s|s|s|s|s|s
inne	s|s|s|r_y
samochody	s|s|s|s|s|s|r_ó|s|d
stojące	s|s|r_a|r_ć|d|d|d
na	s|s
placu	s|s|s|s|d
.	s

